id_matricula,data_matricula
1,2024-02-01
2,2024-02-02
3,2024-02-03
4,2024-02-04
5,2024-02-05
6,2024-02-06
7,2024-02-07
8,2024-02-08
9,2024-02-09
10,2024-02-10
11,2024-02-11
12,2024-02-12
13,2024-02-13
14,2024-02-14
15,2024-02-15
16,2024-02-16
17,2024-02-17
18,2024-02-18
19,2024-02-19
20,2024-02-20
21,2024-02-21
22,2024-02-22
23,2024-02-23
24,2024-02-24
25,2024-02-25
26,2024-02-26
27,2024-02-27
28,2024-02-28
29,2024-02-29
30,2024-03-01
31,2024-03-02
32,2024-03-03
33,2024-03-04
34,2024-03-05
35,2024-03-06
36,2024-03-07
37,2024-03-08
38,2024-03-09
39,2024-03-10
40,2024-03-11
41,2024-03-12
42,2024-03-13
43,2024-03-14
44,2024-03-15
45,2024-03-16
46,2024-03-17
47,2024-03-18
48,2024-03-19
49,2024-03-20
50,2024-03-21
51,2024-04-22
52,2024-04-23
53,2024-04-24
54,2024-04-25
55,2024-04-27
56,2024-04-28
57,2024-04-29
58,2024-04-30
59,2024-05-01
60,2024-05-02
61,2024-05-03
62,2024-05-04
63,2024-05-05
64,2024-05-07
65,2024-05-10
66,2024-05-11
67,2024-05-12
68,2024-05-13
69,2024-05-15
70,2024-05-15
