id_matricula,id_aluno,id_aula
1,1,1
2,2,1
3,3,1
4,4,4
5,5,1
6,6,6
7,7,15
8,8,15
9,9,13
10,10,10
11,11,2
12,12,13
13,13,3
14,14,4
15,15,5
16,16,6
17,17,7
18,18,8
19,19,9
20,20,10
21,21,1
22,22,2
23,23,3
24,24,4
25,25,13
26,26,6
27,27,7
28,28,8
29,29,9
30,30,10
31,31,1
32,32,1
33,33,3
34,34,4
35,35,5
36,36,6
37,37,7
38,38,8
39,39,9
40,40,10
41,41,1
42,42,1
43,43,1
44,44,4
45,45,9
46,46,6
47,47,7
48,48,13
49,49,13
50,50,10
51,1,3
52,3,15
53,4,15
54,10,15
55,12,5
56,14,8
57,2,1
58,4,1
59,5,10
60,14,13
61,45,14
62,30,13
63,14,2
64,1,14
65,4,9
66,2,3
67,7,2
68,8,3
69,31,2
70,48,11
71,30,15
